kernel_name,problem_size,sim_time_ms
vectoradd,1024,0.006112
vectoradd,2048,0.006120
vectoradd,4096,0.006140
vectoradd,8192,0.006179
vectoradd,16384,0.006316
vectoradd,32768,0.007026
vectoradd,65536,0.008450
vectoradd,131072,0.011293
vectoradd,262144,0.016983
vectoradd,524288,0.028360
relu,1024,0.006094
relu,2048,0.006104
relu,4096,0.006122
relu,8192,0.006158
relu,32768,0.007011
relu,65536,0.008432
relu,131072,0.011277
relu,262144,0.016963
relu,524288,0.028341
matrixtranspose,64,0.006401
matrixtranspose,128,0.006437
matrixtranspose,256,0.006537
matrixtranspose,512,0.006744
matrixtranspose,1024,0.008263
fir,1024_taps16,0.006995
fir,4096_taps16,0.007000
fir,16384_taps16,0.007049
fir,65536_taps16,0.009053
fir,262144_taps16,0.017250
fastwalshtransform,1024,0.043385
fastwalshtransform,4096,0.051711
fastwalshtransform,16384,0.060174
fastwalshtransform,65536,0.071535
